"","Income","Kidhome","Teenhome","Recency","Wines","Fruits","Meat","Fish","Sweets","Gold","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","AcceptedCmp6","Age","NumberofDayEnrolled","NumOfferAccepted2","TotalSpentAmount","FamilySize","IsParent","Education_Master","Education_PhD","Education_Undergraduate","Marital_Status_Married","Marital_Status_Other","Marital_Status_Single","Marital_Status_Together"
"1",58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,64,736643,0,1617,0,0,0,0,0,0,0,1,0
"2",46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,67,735366,0,27,2,1,0,0,0,0,0,1,0
"3",71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,56,730465,0,776,1,0,0,0,0,0,0,0,1
"4",26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,37,734664,0,53,2,1,0,0,0,0,0,0,1
"5",58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,40,731408,0,422,2,1,0,1,0,1,0,0,0
"6",62513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,54,734817,0,716,2,1,1,0,0,0,0,0,1
"7",55635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,50,733295,0,590,1,1,0,0,0,0,0,0,0
"8",33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,36,735305,0,169,2,1,0,1,0,1,0,0,0
"9",30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,47,736005,0,46,2,1,0,1,0,0,0,0,1
"10",7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,45,733295,0,61,1,0,0,0,1,1,0,0,0
"11",63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,62,732565,0,1102,0,0,0,0,0,0,0,0,0
"12",59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,69,732565,0,310,2,1,1,0,0,0,0,0,0
"13",17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,34,734422,0,46,1,0,0,0,0,1,0,0,0
